date,gross_compound_yield_pct
1981-01-31,16.8694
1981-02-28,16.8569
1981-03-31,18.9452
1981-04-30,18.7987
1981-05-31,19.7172
1981-06-30,19.8712
1981-07-31,20.1272
1981-08-31,20.6057
1981-09-30,20.397
1981-10-15,20.79
1981-10-31,21.2974
1981-11-15,21.4834
1981-11-30,21.3514
1981-12-31,21.5078
1982-01-15,21.0563
1982-01-31,20.7587
1982-02-15,20.52
1982-02-28,20.226
1982-03-15,20.0211
1982-03-31,19.65
1982-04-15,20.0275
1982-04-30,20.2146
1982-05-15,20.3167
1982-05-31,20.3231
1982-06-15,20.04
1982-06-30,19.2829
1982-07-15,19.3281
1982-07-31,19.235
1982-08-15,18.9479
1982-08-31,18.8902
1982-09-15,18.4084
1982-09-30,17.9565
1982-10-15,18.1925
1982-10-31,18.2289
1982-11-15,19.1785
1982-11-30,19.2072
1982-12-15,19.51
1982-12-31,19.1985
1983-01-15,19.3099
1983-01-31,19.1168
1983-02-15,19.2456
1983-02-28,18.957
1983-03-15,18.862
1983-03-31,18.7233
1983-04-15,18.5766
1983-04-30,18.1295
1983-05-15,18.0187
1983-05-31,17.677
1983-06-15,17.6143
1983-06-30,17.4926
1983-07-15,17.5914
1983-07-31,17.5033
1983-08-15,17.5712
1983-08-31,17.4495
1983-09-15,17.5311
1983-09-30,17.3713
1983-10-15,17.41
1983-10-31,17.3965
1983-11-15,17.5434
1983-11-30,17.4422
1983-12-15,17.74
1983-12-31,17.2662
1984-01-15,17.07
1984-01-31,16.6841
1984-02-15,16.43
1984-02-29,15.8771
1984-03-15,15.7725
1984-03-31,15.713
1984-04-15,15.582
1984-04-30,15.5732
1984-05-15,15.165
1984-05-31,15.1532
1984-06-15,15.145
1984-06-30,14.9953
1984-07-15,15.1
1984-07-31,15.0549
1984-08-15,15.1
1984-08-31,15.0723
1984-09-15,15.4631
1984-09-30,15.3203
1984-10-15,15.385
1984-10-31,15.2088
1984-11-15,15.01
1984-11-30,14.8924
1984-12-15,14.77
1984-12-31,14.6984
1985-01-15,14.0225
1985-01-31,13.7278
1985-02-15,13.47
1985-02-28,13.4116
1985-03-15,13.38
1985-03-31,13.3977
1985-04-15,14.265
1985-04-30,14.2251
